CPU Name,"Apr 13, 2024","Apr 14, 2024","Apr 15, 2023","Apr 15, 2024","Apr 16, 2024","Apr 19, 2024","Apr 21, 2024","Apr 22, 2024","Apr 23, 2024","Apr 24, 2024","Apr 26, 2024","Apr 27, 2024","Apr 28, 2024","Apr 29, 2024","Apr 3, 2024","Apr 30, 2024","Apr 4, 2024","Aug 10, 2024","Aug 21, 2024","Aug 25, 2024","Aug 7, 2024","Aug 8, 2024","Aug 9, 2024","Dec 1, 2024","Dec 15, 2022","Dec 2, 2024","Dec 26, 2023","Dec 3, 2024","Dec 4, 2024","Dec 5, 2024","Dec 6, 2024","Feb 15, 2024","Feb 24, 2024","Feb 3, 2024","Jan 30, 2024","Jan 6, 2023","Jul 10, 2024","Jul 11, 2024","Jul 16, 2024","Jul 18, 2024","Jul 22, 2024","Jul 28, 2024","Jul 5, 2024","Jun 12, 2024","Jun 2, 2024","Jun 21, 2024","Jun 27, 2024","Jun 4, 2024","Jun 6, 2024","Jun 7, 2024","Jun 9, 2024","Mar 10, 2024","Mar 11, 2024","Mar 22, 2024","Mar 26, 2024","May 1, 2024","May 10, 2024","May 13, 2024","May 14, 2024","May 15, 2024","May 16, 2024","May 17, 2024","May 18, 2024","May 2, 2024","May 20, 2024","May 21, 2024","May 22, 2024","May 23, 2024","May 24, 2024","May 28, 2024","May 30, 2024","May 31, 2023","May 31, 2024","May 4, 2023","May 4, 2024","May 7, 2024","May 8, 2024","May 9, 2024","Nov 1, 2024","Nov 10, 2024","Nov 11, 2024","Nov 12, 2024","Nov 13, 2024","Nov 14, 2024","Nov 15, 2021","Nov 15, 2024","Nov 16, 2024","Nov 17, 2024","Nov 18, 2024","Nov 19, 2024","Nov 2, 2024","Nov 20, 2024","Nov 21, 2024","Nov 22, 2021","Nov 22, 2024","Nov 23, 2024","Nov 24, 2024","Nov 25, 2024","Nov 26, 2024","Nov 27, 2022","Nov 27, 2024","Nov 28, 2024","Nov 29, 2024","Nov 3, 2024","Nov 30, 2024","Nov 4, 2024","Nov 5, 2024","Nov 6, 2024","Nov 7, 2024","Nov 8, 2024","Nov 9, 2024","Oct 1, 2024","Oct 10, 2024","Oct 11, 2024","Oct 12, 2024","Oct 13, 2024","Oct 14, 2024","Oct 15, 2024","Oct 16, 2024","Oct 17, 2024","Oct 18, 2024","Oct 19, 2024","Oct 2, 2024","Oct 20, 2024","Oct 21, 2024","Oct 22, 2024","Oct 23, 2024","Oct 24, 2024","Oct 25, 2024","Oct 26, 2023","Oct 26, 2024","Oct 27, 2024","Oct 28, 2024","Oct 29, 2024","Oct 3, 2024","Oct 30, 2024","Oct 31, 2024","Oct 4, 2024","Oct 5, 2024","Oct 6, 2024","Oct 7, 2024","Oct 8, 2024","Oct 9, 2024","Sep 10, 2024","Sep 11, 2024","Sep 12, 2024","Sep 13, 2024","Sep 14, 2024","Sep 15, 2024","Sep 16, 2024","Sep 17, 2024","Sep 18, 2024","Sep 19, 2022","Sep 19, 2024","Sep 20, 2024","Sep 21, 2024","Sep 22, 2024","Sep 23, 2024","Sep 24, 2024","Sep 25, 2024","Sep 26, 2024","Sep 27, 2024","Sep 28, 2024","Sep 29, 2024","Sep 30, 2024","Sep 6, 2024","Sep 7, 2024","Sep 8, 2024","Sep 9, 2024"
AMD Ryzen 3 1200,,,,,,,,,,,,,,,,,,,,,,,,10.5,,15.99,,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99,,,,,,,,,,,,,,,,,,,,15.0,,,18.0,,,19.99,17.99,,22.0,18.5,,18.5,,,,15.0,,19.23,,,,,25.0,18.48,,18.5,19.95,,,,,14.99,20.99,19.95,,14.5,11.0,,,,,,19.97,,,27.85,,,25.0,,30.0,,,,47.5,,22.83,,15.0,,19.37,27.0,,19.5,15.19,,,,,,,28.99,,,34.75,,19.99,12.0,19.5,,13.99,,,20.0,13.0,,,,
AMD Ryzen 3 1300X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.99,,,,,,,,,,,,,,25.0,17.83,,,,,,,25.0,,29.99,,,,,,,,,,,,,26.99,,,,,,,21.25,,,,31.49,,,,,26.0,,,,20.5,,,34.99,,,,,,,,,,26.99,,,,,,,,,,,,,,23.0,27.99,,,,,,,21.5,,20.0,,,,,,26.0,,,,
AMD Ryzen 3 2200G,,,,,,,,,,,,,,,,,,,,,,,,22.49,,,,28.5,24.99,27.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.99,,,,,,,28.0,24.99,,28.45,,,,20.0,26.75,27.49,26.0,25.0,24.5,,,30.23,,18.99,23.95,39.95,,25.5,,28.34,29.99,26.99,,,59.99,24.18,,,27.5,,,19.0,28.0,22.25,31.5,37.99,39.99,26.24,,,31.0,,30.0,,,,,25.0,,27.99,,20.0,,29.0,,20.08,,30.0,43.5,25.74,28.48,,39.95,26.0,17.75,19.0,27.0,23.5,29.0,,35.0,27.49,,139.0,22.74,31.99,37.5,29.0,21.75,60.0,,,,,29.0,24.99
AMD Ryzen 3 3100,,,,,,,,,,,,,,,,,,,,,,,,,,38.47,,23.0,39.99,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,32.54,,,,,21.5,46.25,36.03,,12.5,,,,,,,,35.0,44.5,,,,23.5,28.0,45.0,35.99,35.66,49.0,35.0,,,34.99,52.99,44.95,,64.99,54.0,31.0,,,30.0,,39.0,,,20.5,,24.89,,,29.99,,,,,,38.99,,,,,40.0,,37.49,60.0,,,,22.5,,,35.65,28.29,,27.99,37.49,,,,,45.0,,,,,44.0
AMD Ryzen 3 3200G,,,,,,,,,,,,,,,,,,,,,,,,38.83,,35.98,,33.5,28.8,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.75,,30.66,35.0,29.99,,54.99,,30.0,25.5,40.99,29.19,34.99,58.12,,30.87,,,44.99,,,,37.4,34.99,22.82,50.99,49.99,30.42,,36.25,40.0,,24.4,33.65,,,37.49,32.48,19.99,40.0,29.75,60.25,34.99,45.36,44.99,76.66,33.75,38.88,39.9,43.5,,,41.5,,37.5,42.5,,115.0,34.99,,31.0,36.5,,37.5,32.99,,,40.0,28.0,39.99,,45.0,52.99,,47.5,50.0,,,39.0,,19.99,,48.29,,37.5,,,,,29.33
AMD Ryzen 3 3300X,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,34.0,,,,,45.0,,,,,,,,,45.0,,,,,,,,,,45.0,,,,,,,,,,,,,47.47,,,,,,,,69.96,,,,,,,,,69.99,43.34,,,,,,,,,,,,,,,51.5,,,,,40.0,,40.0,,,,,,,,
AMD Ryzen 3 4100,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.79,,,,,,28.0,,49.99,,34.44,,44.99,,,45.0,,,,,,,,26.0,,,,42.97,,49.8,,,,,48.0,,,,,54.95,,,,,40.0,40.0,,,,,,,,,,55.0,,34.0,,,,,,,,,30.0,,,,,,,,,,,39.87,,,,,,33.0,50.0,,45.99,,,79.99,,,,,,15.5
AMD Ryzen 5 1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,85.62,,,,,,,,,25.42,,,22.25,,,25.79,,,20.0,22.99,,23.99,15.5,,30.0,,,,25.0,,,25.99,,18.0,,,50.99,,,,25.0,15.5,24.33,22.95,,,,,28.8,,,,32.99,,18.65,,18.5,18.0,24.99,15.0,20.0,,,16.13,12.5,,,,,,,24.99,,,,,,23.5,17.0,,,17.75,,,,
AMD Ryzen 5 1500X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.99,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,28.0,,,,,25.0,,,,33.33,99.99,39.99,,,,,,,,,,,,,,26.5,,,,,,,,,
AMD Ryzen 5 1600,,,,,,,,,,,,,,,,,,,,,,,,50.74,,25.98,,12.7,33.49,25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.53,,,,,,,,,,,,,,35.0,20.0,,,47.83,23.76,28.0,,,28.75,30.0,28.0,84.99,25.99,39.99,25.0,28.0,,20.99,36.0,25.99,36.99,48.5,,41.0,,27.99,24.0,30.0,26.0,,,,26.0,56.24,59.67,,44.99,31.49,29.99,28.98,,29.99,21.49,37.0,29.99,25.0,33.0,,,38.99,32.5,,,32.5,26.37,54.5,,29.99,50.0,,20.0,34.99,27.75,46.0,52.65,110.0,82.75,25.99,60.22,34.99,,,60.24,24.39,19.99,,,,30.0,15.5,28.0,123.16,,,30.0,21.5,29.99,,,12.94,29.99,30.0
